model_name,accuracy_avg,precision_avg,recall_avg,f1_avg,n01531178_precision,n01531178_recall,n01531178_f1,n01440764_precision,n01440764_recall,n01440764_f1,n01494475_precision,n01494475_recall,n01494475_f1,n01950731_precision,n01950731_recall,n01950731_f1,n01795545_precision,n01795545_recall,n01795545_f1,n01632777_precision,n01632777_recall,n01632777_f1,n02012849_precision,n02012849_recall,n02012849_f1,n01775062_precision,n01775062_recall,n01775062_f1,n02007558_precision,n02007558_recall,n02007558_f1,n01484850_precision,n01484850_recall,n01484850_f1,n01930112_precision,n01930112_recall,n01930112_f1,n01984695_precision,n01984695_recall,n01984695_f1,n02037110_precision,n02037110_recall,n02037110_f1,n02018795_precision,n02018795_recall,n02018795_f1,n01695060_precision,n01695060_recall,n01695060_f1,n01978455_precision,n01978455_recall,n01978455_f1,n01749939_precision,n01749939_recall,n01749939_f1,n01824575_precision,n01824575_recall,n01824575_f1,n01914609_precision,n01914609_recall,n01914609_f1,n01833805_precision,n01833805_recall,n01833805_f1,n01924916_precision,n01924916_recall,n01924916_f1,n01665541_precision,n01665541_recall,n01665541_f1,n01820546_precision,n01820546_recall,n01820546_f1,n01687978_precision,n01687978_recall,n01687978_f1,n01818515_precision,n01818515_recall,n01818515_f1,n02058221_precision,n02058221_recall,n02058221_f1,n01677366_precision,n01677366_recall,n01677366_f1,n02077923_precision,n02077923_recall,n02077923_f1,n01698640_precision,n01698640_recall,n01698640_f1,n01592084_precision,n01592084_recall,n01592084_f1,n01537544_precision,n01537544_recall,n01537544_f1,n01514668_precision,n01514668_recall,n01514668_f1,n01955084_precision,n01955084_recall,n01955084_f1,n01773797_precision,n01773797_recall,n01773797_f1,n01740131_precision,n01740131_recall,n01740131_f1,n01735189_precision,n01735189_recall,n01735189_f1,n01728572_precision,n01728572_recall,n01728572_f1,n02027492_precision,n02027492_recall,n02027492_f1,n01774384_precision,n01774384_recall,n01774384_f1,n01443537_precision,n01443537_recall,n01443537_f1,n01773549_precision,n01773549_recall,n01773549_f1,n02018207_precision,n02018207_recall,n02018207_f1,n01608432_precision,n01608432_recall,n01608432_f1,n01770081_precision,n01770081_recall,n01770081_f1,n01514859_precision,n01514859_recall,n01514859_f1,n01729977_precision,n01729977_recall,n01729977_f1,n02028035_precision,n02028035_recall,n02028035_f1,n01843383_precision,n01843383_recall,n01843383_f1,n01773157_precision,n01773157_recall,n01773157_f1,n01753488_precision,n01753488_recall,n01753488_f1,n01667114_precision,n01667114_recall,n01667114_f1,n01582220_precision,n01582220_recall,n01582220_f1,n01614925_precision,n01614925_recall,n01614925_f1,n01664065_precision,n01664065_recall,n01664065_f1,n01829413_precision,n01829413_recall,n01829413_f1,n01498041_precision,n01498041_recall,n01498041_f1,n01968897_precision,n01968897_recall,n01968897_f1,n02011460_precision,n02011460_recall,n02011460_f1,n01944390_precision,n01944390_recall,n01944390_f1,n01560419_precision,n01560419_recall,n01560419_f1,n01644900_precision,n01644900_recall,n01644900_f1,n01756291_precision,n01756291_recall,n01756291_f1,n02013706_precision,n02013706_recall,n02013706_f1,n01847000_precision,n01847000_recall,n01847000_f1,n01622779_precision,n01622779_recall,n01622779_f1,n01751748_precision,n01751748_recall,n01751748_f1,n02002556_precision,n02002556_recall,n02002556_f1,n01685808_precision,n01685808_recall,n01685808_f1,n01601694_precision,n01601694_recall,n01601694_f1,n01734418_precision,n01734418_recall,n01734418_f1,n01883070_precision,n01883070_recall,n01883070_f1,n01693334_precision,n01693334_recall,n01693334_f1,n02006656_precision,n02006656_recall,n02006656_f1,n01828970_precision,n01828970_recall,n01828970_f1,n01632458_precision,n01632458_recall,n01632458_f1,n01985128_precision,n01985128_recall,n01985128_f1,n01806143_precision,n01806143_recall,n01806143_f1,n01774750_precision,n01774750_recall,n01774750_f1,n01776313_precision,n01776313_recall,n01776313_f1,n02051845_precision,n02051845_recall,n02051845_f1,n01860187_precision,n01860187_recall,n01860187_f1,n01855672_precision,n01855672_recall,n01855672_f1,n01796340_precision,n01796340_recall,n01796340_f1,n01667778_precision,n01667778_recall,n01667778_f1,n01491361_precision,n01491361_recall,n01491361_f1,n01729322_precision,n01729322_recall,n01729322_f1,n01943899_precision,n01943899_recall,n01943899_f1,n01978287_precision,n01978287_recall,n01978287_f1,n01877812_precision,n01877812_recall,n01877812_f1,n01675722_precision,n01675722_recall,n01675722_f1,n01739381_precision,n01739381_recall,n01739381_f1,n01742172_precision,n01742172_recall,n01742172_f1,n01910747_precision,n01910747_recall,n01910747_f1,n01798484_precision,n01798484_recall,n01798484_f1,n01770393_precision,n01770393_recall,n01770393_f1,n01630670_precision,n01630670_recall,n01630670_f1,n01986214_precision,n01986214_recall,n01986214_f1,n01819313_precision,n01819313_recall,n01819313_f1,n01755581_precision,n01755581_recall,n01755581_f1,n01496331_precision,n01496331_recall,n01496331_f1
swin_s3_tiny_224,0.871,0.8685394801182449,0.8710000000000001,0.8667367115401897,1.0,1.0,1.0,1.0,0.98,0.98989898989899,0.7741935483870968,0.96,0.8571428571428571,0.9433962264150944,1.0,0.970873786407767,0.9361702127659576,0.88,0.9072164948453608,0.8867924528301887,0.94,0.912621359223301,0.9183673469387756,0.9,0.9090909090909092,0.7692307692307693,0.8,0.7843137254901961,0.98,0.98,0.98,0.88,0.88,0.88,0.9056603773584906,0.96,0.9320388349514565,0.926829268292683,0.76,0.8351648351648352,0.9787234042553192,0.92,0.9484536082474226,0.9565217391304348,0.88,0.9166666666666666,0.9375,0.9,0.9183673469387756,0.7948717948717948,0.62,0.6966292134831461,0.6851851851851852,0.74,0.7115384615384615,0.9583333333333334,0.92,0.9387755102040816,1.0,0.86,0.924731182795699,0.9423076923076924,0.98,0.9607843137254902,1.0,0.9,0.9473684210526316,0.9523809523809524,0.8,0.8695652173913043,0.98,0.98,0.98,0.8775510204081632,0.86,0.8686868686868686,0.9803921568627452,1.0,0.99009900990099,0.9423076923076924,0.98,0.9607843137254902,0.8541666666666666,0.82,0.836734693877551,0.8421052631578947,0.96,0.8971962616822429,0.8679245283018868,0.92,0.8932038834951457,0.9615384615384616,1.0,0.9803921568627452,0.98,0.98,0.98,0.8571428571428571,0.84,0.8484848484848485,0.9074074074074074,0.98,0.9423076923076924,0.627906976744186,0.54,0.5806451612903226,0.5277777777777778,0.38,0.4418604651162791,0.9056603773584906,0.96,0.9320388349514565,0.8148148148148148,0.88,0.8461538461538461,0.9607843137254902,0.98,0.9702970297029702,0.8979591836734694,0.88,0.888888888888889,0.9423076923076924,0.98,0.9607843137254902,0.6,0.6,0.6,0.8823529411764706,0.9,0.8910891089108911,0.8679245283018868,0.92,0.8932038834951457,0.979591836734694,0.96,0.9696969696969696,0.88,0.88,0.88,0.6818181818181818,0.6,0.6382978723404256,0.94,0.94,0.94,0.979591836734694,0.96,0.9696969696969696,0.7384615384615385,0.96,0.8347826086956522,0.4390243902439024,0.72,0.5454545454545455,0.6923076923076923,0.72,0.7058823529411765,0.975609756097561,0.8,0.8791208791208791,0.96,0.96,0.96,0.7931034482758621,0.92,0.851851851851852,0.8571428571428571,0.96,0.9056603773584904,0.9,0.72,0.7999999999999999,1.0,0.94,0.9690721649484536,0.9230769230769232,0.96,0.9411764705882352,0.9387755102040816,0.92,0.9292929292929292,0.9166666666666666,0.88,0.8979591836734694,0.9230769230769232,0.72,0.8089887640449438,0.0,0.0,0.0,0.9230769230769232,0.96,0.9411764705882352,0.9565217391304348,0.88,0.9166666666666666,1.0,1.0,1.0,0.8823529411764706,0.9,0.8910891089108911,0.94,0.94,0.94,0.8936170212765957,0.84,0.8659793814432989,0.9555555555555556,0.86,0.9052631578947368,0.8,0.88,0.8380952380952381,0.94,0.94,0.94,0.6818181818181818,0.9,0.7758620689655172,1.0,0.98,0.98989898989899,0.9090909090909092,1.0,0.9523809523809524,0.8545454545454545,0.94,0.8952380952380952,0.6301369863013698,0.92,0.7479674796747968,0.9074074074074074,0.98,0.9423076923076924,0.9411764705882352,0.96,0.9504950495049505,0.975,0.78,0.8666666666666667,0.9230769230769232,0.96,0.9411764705882352,0.9803921568627452,1.0,0.99009900990099,0.875,0.84,0.8571428571428572,0.9574468085106383,0.9,0.9278350515463918,0.66,0.66,0.66,0.8947368421052632,0.68,0.7727272727272727,0.7368421052631579,0.56,0.6363636363636364,0.8461538461538461,0.88,0.8627450980392156,0.7966101694915254,0.94,0.8623853211009174,0.9375,0.9,0.9183673469387756,0.9761904761904762,0.82,0.8913043478260869,0.7169811320754716,0.76,0.7378640776699028,0.7377049180327869,0.9,0.8108108108108109,0.9791666666666666,0.94,0.9591836734693876,0.9423076923076924,0.98,0.9607843137254902,0.94,0.94,0.94,0.8260869565217391,0.76,0.7916666666666667,0.7704918032786885,0.94,0.8468468468468469,0.9423076923076924,0.98,0.9607843137254902,0.7241379310344828,0.84,0.7777777777777777,0.7777777777777778,0.84,0.8076923076923077
resnet50,0.8716,0.867127185550694,0.8715999999999999,0.8675566826653863,0.9803921568627452,1.0,0.99009900990099,0.9423076923076924,0.98,0.9607843137254902,0.9387755102040816,0.92,0.9292929292929292,0.9433962264150944,1.0,0.970873786407767,0.9361702127659576,0.88,0.9072164948453608,0.8727272727272727,0.96,0.9142857142857144,0.9387755102040816,0.92,0.9292929292929292,0.76,0.76,0.76,1.0,0.98,0.98989898989899,0.8979591836734694,0.88,0.888888888888889,0.9019607843137256,0.92,0.9108910891089108,0.9318181818181818,0.82,0.8723404255319149,0.9591836734693876,0.94,0.9494949494949496,0.8596491228070176,0.98,0.9158878504672898,0.9056603773584906,0.96,0.9320388349514565,0.7407407407407407,0.8,0.7692307692307692,0.6730769230769231,0.7,0.6862745098039216,0.9782608695652174,0.9,0.9375,0.9583333333333334,0.92,0.9387755102040816,0.9074074074074074,0.98,0.9423076923076924,0.9777777777777776,0.88,0.9263157894736842,0.8372093023255814,0.72,0.7741935483870969,0.9433962264150944,1.0,0.970873786407767,0.9333333333333332,0.84,0.8842105263157894,1.0,0.98,0.98989898989899,0.96,0.96,0.96,0.7592592592592593,0.82,0.7884615384615384,0.8727272727272727,0.96,0.9142857142857144,0.92,0.92,0.92,0.98,0.98,0.98,0.9583333333333334,0.92,0.9387755102040816,0.8,0.72,0.7578947368421052,0.979591836734694,0.96,0.9696969696969696,0.6304347826086957,0.58,0.6041666666666666,0.5434782608695652,0.5,0.5208333333333334,0.7777777777777778,0.98,0.8672566371681417,0.8,0.8,0.8000000000000002,0.94,0.94,0.94,0.9555555555555556,0.86,0.9052631578947368,0.9787234042553192,0.92,0.9484536082474226,0.5581395348837209,0.48,0.5161290322580644,0.94,0.94,0.94,0.8627450980392157,0.88,0.8712871287128714,0.8448275862068966,0.98,0.9074074074074074,0.7818181818181819,0.86,0.819047619047619,0.6818181818181818,0.6,0.6382978723404256,0.9215686274509804,0.94,0.9306930693069309,0.9791666666666666,0.94,0.9591836734693876,0.7230769230769231,0.94,0.8173913043478259,0.4756097560975609,0.78,0.5909090909090909,0.5660377358490566,0.6,0.5825242718446602,0.96,0.96,0.96,0.8727272727272727,0.96,0.9142857142857144,0.8490566037735849,0.9,0.8737864077669903,0.9245283018867924,0.98,0.9514563106796116,0.8181818181818182,0.9,0.8571428571428572,1.0,0.92,0.9583333333333334,0.9791666666666666,0.94,0.9591836734693876,0.9183673469387756,0.9,0.9090909090909092,0.9574468085106383,0.9,0.9278350515463918,0.9534883720930232,0.82,0.8817204301075269,0.0,0.0,0.0,0.9607843137254902,0.98,0.9702970297029702,0.8867924528301887,0.94,0.912621359223301,1.0,0.96,0.979591836734694,0.9166666666666666,0.88,0.8979591836734694,0.96,0.96,0.96,0.88,0.88,0.88,0.9565217391304348,0.88,0.9166666666666666,0.8775510204081632,0.86,0.8686868686868686,0.9791666666666666,0.94,0.9591836734693876,0.7592592592592593,0.82,0.7884615384615384,0.9615384615384616,1.0,0.9803921568627452,0.9607843137254902,0.98,0.9702970297029702,0.8653846153846154,0.9,0.8823529411764707,0.7818181818181819,0.86,0.819047619047619,0.9019607843137256,0.92,0.9108910891089108,0.9245283018867924,0.98,0.9514563106796116,0.8695652173913043,0.8,0.8333333333333333,0.96,0.96,0.96,0.9803921568627452,1.0,0.99009900990099,0.95,0.76,0.8444444444444444,0.9361702127659576,0.88,0.9072164948453608,0.6122448979591837,0.6,0.6060606060606062,0.84,0.84,0.8399999999999999,0.8095238095238095,0.68,0.7391304347826089,0.8461538461538461,0.88,0.8627450980392156,0.875,0.84,0.8571428571428572,0.8545454545454545,0.94,0.8952380952380952,0.9772727272727272,0.86,0.9148936170212766,0.7446808510638298,0.7,0.7216494845360825,0.8333333333333334,0.9,0.8653846153846153,0.9591836734693876,0.94,0.9494949494949496,0.9056603773584906,0.96,0.9320388349514565,0.8703703703703703,0.94,0.903846153846154,0.8163265306122449,0.8,0.8080808080808082,0.8392857142857143,0.94,0.8867924528301886,0.9607843137254902,0.98,0.9702970297029702,0.7096774193548387,0.88,0.7857142857142856,0.8478260869565217,0.78,0.8125
mobilenetv2_100,0.8184,0.8080255066689306,0.8184,0.8103337372571723,0.98,0.98,0.98,0.9230769230769232,0.96,0.9411764705882352,0.8269230769230769,0.86,0.8431372549019608,0.8181818181818182,0.9,0.8571428571428572,0.9555555555555556,0.86,0.9052631578947368,0.86,0.86,0.8599999999999999,0.8148148148148148,0.88,0.8461538461538461,0.6290322580645161,0.78,0.6964285714285714,1.0,0.92,0.9583333333333334,0.7962962962962963,0.86,0.826923076923077,0.8979591836734694,0.88,0.888888888888889,0.7586206896551724,0.88,0.8148148148148148,0.9,0.9,0.9,0.8679245283018868,0.92,0.8932038834951457,0.9545454545454546,0.84,0.8936170212765958,0.6458333333333334,0.62,0.6326530612244898,0.6511627906976745,0.56,0.6021505376344087,0.8148148148148148,0.88,0.8461538461538461,0.9761904761904762,0.82,0.8913043478260869,0.9245283018867924,0.98,0.9514563106796116,0.9333333333333332,0.84,0.8842105263157894,0.8292682926829268,0.68,0.7472527472527474,0.979591836734694,0.96,0.9696969696969696,0.76,0.76,0.76,0.9411764705882352,0.96,0.9504950495049505,0.8867924528301887,0.94,0.912621359223301,0.671875,0.86,0.7543859649122807,0.7666666666666667,0.92,0.8363636363636363,0.7678571428571429,0.86,0.8113207547169812,0.9411764705882352,0.96,0.9504950495049505,0.8867924528301887,0.94,0.912621359223301,0.8571428571428571,0.72,0.782608695652174,0.8979591836734694,0.88,0.888888888888889,0.6,0.54,0.5684210526315789,0.0,0.0,0.0,0.8392857142857143,0.94,0.8867924528301886,0.6885245901639344,0.84,0.7567567567567568,0.9166666666666666,0.88,0.8979591836734694,0.9166666666666666,0.88,0.8979591836734694,0.903846153846154,0.94,0.9215686274509804,0.5,0.36,0.4186046511627906,0.9574468085106383,0.9,0.9278350515463918,0.8604651162790697,0.74,0.7956989247311828,0.8545454545454545,0.94,0.8952380952380952,0.8,0.88,0.8380952380952381,0.7105263157894737,0.54,0.6136363636363636,0.88,0.88,0.88,0.9347826086956522,0.86,0.8958333333333334,0.734375,0.94,0.8245614035087719,0.0,0.0,0.0,0.5409836065573771,0.66,0.5945945945945946,0.7894736842105263,0.9,0.8411214953271027,0.8679245283018868,0.92,0.8932038834951457,0.8043478260869565,0.74,0.7708333333333333,0.9411764705882352,0.96,0.9504950495049505,0.7884615384615384,0.82,0.803921568627451,1.0,0.94,0.9690721649484536,0.8,0.88,0.8380952380952381,0.86,0.86,0.8599999999999999,0.9130434782608696,0.84,0.8749999999999999,0.7647058823529411,0.52,0.6190476190476191,0.419753086419753,0.68,0.5190839694656489,0.9230769230769232,0.96,0.9411764705882352,0.9148936170212766,0.86,0.8865979381443299,0.8909090909090909,0.98,0.9333333333333332,0.7368421052631579,0.84,0.7850467289719626,0.9215686274509804,0.94,0.9306930693069309,0.84,0.84,0.8399999999999999,0.8958333333333334,0.86,0.8775510204081632,0.75,0.84,0.7924528301886793,0.9166666666666666,0.88,0.8979591836734694,0.7090909090909091,0.78,0.7428571428571428,0.9423076923076924,0.98,0.9607843137254902,0.8888888888888888,0.96,0.923076923076923,0.7857142857142857,0.88,0.830188679245283,0.6904761904761905,0.58,0.6304347826086957,0.9347826086956522,0.86,0.8958333333333334,0.8867924528301887,0.94,0.912621359223301,0.8,0.8,0.8000000000000002,0.9583333333333334,0.92,0.9387755102040816,0.98,0.98,0.98,0.851063829787234,0.8,0.8247422680412372,0.8666666666666667,0.78,0.8210526315789474,0.7,0.56,0.6222222222222222,0.8181818181818182,0.72,0.7659574468085107,0.463768115942029,0.64,0.5378151260504201,0.7454545454545455,0.82,0.780952380952381,0.8,0.88,0.8380952380952381,0.8035714285714286,0.9,0.8490566037735849,0.8809523809523809,0.74,0.8043478260869565,0.5892857142857143,0.66,0.6226415094339622,0.7213114754098361,0.88,0.7927927927927928,0.8679245283018868,0.92,0.8932038834951457,0.9591836734693876,0.94,0.9494949494949496,0.8269230769230769,0.86,0.8431372549019608,0.7659574468085106,0.72,0.7422680412371133,0.6909090909090909,0.76,0.7238095238095238,0.8888888888888888,0.96,0.923076923076923,0.723404255319149,0.68,0.7010309278350516,0.7708333333333334,0.74,0.7551020408163266
vit_tiny_patch16_224,0.8218,0.8194491434919097,0.8218000000000001,0.8173852976181851,1.0,0.98,0.98989898989899,0.9791666666666666,0.94,0.9591836734693876,0.8409090909090909,0.74,0.7872340425531915,0.8269230769230769,0.86,0.8431372549019608,0.9555555555555556,0.86,0.9052631578947368,0.8846153846153846,0.92,0.9019607843137256,0.8478260869565217,0.78,0.8125,0.6727272727272727,0.74,0.7047619047619048,0.9791666666666666,0.94,0.9591836734693876,0.7288135593220338,0.86,0.7889908256880733,0.9583333333333334,0.92,0.9387755102040816,0.75,0.84,0.7924528301886793,0.92,0.92,0.92,0.8679245283018868,0.92,0.8932038834951457,0.8653846153846154,0.9,0.8823529411764707,0.717391304347826,0.66,0.6875,0.6875,0.66,0.673469387755102,0.92,0.92,0.92,0.9767441860465116,0.84,0.9032258064516128,0.9230769230769232,0.96,0.9411764705882352,0.8431372549019608,0.86,0.8514851485148515,0.7659574468085106,0.72,0.7422680412371133,0.9230769230769232,0.96,0.9411764705882352,0.7407407407407407,0.8,0.7692307692307692,0.9591836734693876,0.94,0.9494949494949496,0.9574468085106383,0.9,0.9278350515463918,0.6935483870967742,0.86,0.7678571428571428,0.7931034482758621,0.92,0.851851851851852,0.71875,0.92,0.8070175438596492,0.98,0.98,0.98,0.94,0.94,0.94,0.8,0.8,0.8000000000000002,0.8518518518518519,0.92,0.8846153846153846,0.5454545454545454,0.36,0.4337349397590361,0.4838709677419355,0.3,0.3703703703703703,0.8275862068965517,0.96,0.888888888888889,0.7413793103448276,0.86,0.7962962962962963,0.9215686274509804,0.94,0.9306930693069309,0.8723404255319149,0.82,0.8453608247422681,0.96,0.96,0.96,0.4561403508771929,0.52,0.4859813084112149,0.8867924528301887,0.94,0.912621359223301,0.8636363636363636,0.76,0.8085106382978724,0.8333333333333334,0.9,0.8653846153846153,0.7924528301886793,0.84,0.8155339805825242,0.6410256410256411,0.5,0.5617977528089888,0.9387755102040816,0.92,0.9292929292929292,0.9761904761904762,0.82,0.8913043478260869,0.75,0.9,0.8181818181818182,0.3917525773195876,0.76,0.5170068027210885,0.6379310344827587,0.74,0.6851851851851852,0.9347826086956522,0.86,0.8958333333333334,0.8888888888888888,0.96,0.923076923076923,0.8695652173913043,0.8,0.8333333333333333,0.8775510204081632,0.86,0.8686868686868686,0.8076923076923077,0.84,0.8235294117647058,0.9772727272727272,0.86,0.9148936170212766,0.9,0.9,0.9,0.8214285714285714,0.92,0.8679245283018867,0.9534883720930232,0.82,0.8817204301075269,0.7272727272727273,0.64,0.6808510638297872,0.0,0.0,0.0,0.9056603773584906,0.96,0.9320388349514565,0.8958333333333334,0.86,0.8775510204081632,0.98,0.98,0.98,0.84,0.84,0.8399999999999999,0.9375,0.9,0.9183673469387756,0.7678571428571429,0.86,0.8113207547169812,1.0,0.84,0.9130434782608696,0.8367346938775511,0.82,0.8282828282828283,0.9183673469387756,0.9,0.9090909090909092,0.6724137931034483,0.78,0.7222222222222223,0.9803921568627452,1.0,0.99009900990099,0.8888888888888888,0.96,0.923076923076923,0.7592592592592593,0.82,0.7884615384615384,0.7073170731707317,0.58,0.6373626373626374,0.9583333333333334,0.92,0.9387755102040816,0.8363636363636363,0.92,0.8761904761904761,0.7017543859649122,0.8,0.7476635514018691,0.8867924528301887,0.94,0.912621359223301,0.94,0.94,0.94,0.6949152542372882,0.82,0.7522935779816514,0.9130434782608696,0.84,0.8749999999999999,0.7428571428571429,0.52,0.6117647058823529,0.813953488372093,0.7,0.7526881720430109,0.5,0.44,0.4680851063829787,0.8297872340425532,0.78,0.8041237113402062,0.7735849056603774,0.82,0.796116504854369,0.84,0.84,0.8399999999999999,0.925,0.74,0.8222222222222222,0.723404255319149,0.68,0.7010309278350516,0.6617647058823529,0.9,0.7627118644067796,0.9361702127659576,0.88,0.9072164948453608,0.9056603773584906,0.96,0.9320388349514565,0.8936170212765957,0.84,0.8659793814432989,0.68,0.68,0.68,0.6551724137931034,0.76,0.7037037037037037,0.8867924528301887,0.94,0.912621359223301,0.782608695652174,0.72,0.7499999999999999,0.8260869565217391,0.76,0.7916666666666667
efficientnet_b0,0.8542,0.8490257986642947,0.8542000000000001,0.8495094564489295,0.9795918367346939,0.96,0.9696969696969697,0.9795918367346939,0.96,0.9696969696969697,0.8392857142857143,0.94,0.8867924528301886,0.9423076923076923,0.98,0.9607843137254902,0.9,0.9,0.9,0.8979591836734694,0.88,0.888888888888889,0.8823529411764706,0.9,0.8910891089108911,0.7450980392156863,0.76,0.7524752475247525,0.9795918367346939,0.96,0.9696969696969697,0.8301886792452831,0.88,0.8543689320388349,0.9375,0.9,0.9183673469387755,0.8269230769230769,0.86,0.8431372549019608,1.0,0.96,0.9795918367346939,0.9230769230769231,0.96,0.9411764705882353,0.9038461538461539,0.94,0.9215686274509804,0.68,0.68,0.68,0.6382978723404256,0.6,0.6185567010309279,0.9215686274509803,0.94,0.9306930693069307,0.9565217391304348,0.88,0.9166666666666666,0.8727272727272727,0.96,0.9142857142857144,0.9787234042553191,0.92,0.9484536082474226,0.8974358974358975,0.7,0.7865168539325842,0.9615384615384616,1.0,0.9803921568627451,0.8,0.8,0.8000000000000002,1.0,0.98,0.98989898989899,0.8867924528301887,0.94,0.912621359223301,0.7857142857142857,0.88,0.830188679245283,0.9019607843137255,0.92,0.9108910891089109,0.8679245283018868,0.92,0.8932038834951457,1.0,0.96,0.9795918367346939,0.9411764705882353,0.96,0.9504950495049505,0.8478260869565217,0.78,0.8125,0.9,0.9,0.9,0.5882352941176471,0.6,0.5940594059405941,0.4666666666666667,0.42,0.4421052631578947,0.8275862068965517,0.96,0.888888888888889,0.7678571428571429,0.86,0.8113207547169812,1.0,0.92,0.9583333333333334,0.8958333333333334,0.86,0.8775510204081632,0.8888888888888888,0.96,0.923076923076923,0.6666666666666666,0.44,0.5301204819277109,0.94,0.94,0.94,0.8913043478260869,0.82,0.8541666666666666,0.7966101694915254,0.94,0.8623853211009174,0.7962962962962963,0.86,0.826923076923077,0.6511627906976745,0.56,0.6021505376344087,0.9038461538461539,0.94,0.9215686274509804,0.9591836734693877,0.94,0.9494949494949495,0.746031746031746,0.94,0.831858407079646,0.5,0.82,0.6212121212121212,0.6296296296296297,0.68,0.6538461538461539,0.94,0.94,0.94,0.8909090909090909,0.98,0.9333333333333333,0.7962962962962963,0.86,0.826923076923077,0.88,0.88,0.88,0.7678571428571429,0.86,0.8113207547169812,1.0,0.88,0.9361702127659575,0.8679245283018868,0.92,0.8932038834951457,0.8181818181818182,0.9,0.8571428571428572,0.9183673469387755,0.9,0.9090909090909091,0.7777777777777778,0.7,0.7368421052631577,0.0,0.0,0.0,0.9791666666666666,0.94,0.9591836734693877,0.9767441860465116,0.84,0.9032258064516129,0.98,0.98,0.98,0.9148936170212766,0.86,0.8865979381443299,0.9411764705882353,0.96,0.9504950495049505,0.84,0.84,0.8399999999999999,0.9166666666666666,0.88,0.8979591836734694,0.8431372549019608,0.86,0.8514851485148515,0.9347826086956522,0.86,0.8958333333333334,0.7090909090909091,0.78,0.7428571428571428,0.9411764705882353,0.96,0.9504950495049505,0.9230769230769231,0.96,0.9411764705882353,0.8103448275862069,0.94,0.8703703703703703,0.6923076923076923,0.72,0.7058823529411765,0.9782608695652174,0.9,0.9375,0.94,0.94,0.94,0.851063829787234,0.8,0.8247422680412372,0.8727272727272727,0.96,0.9142857142857144,0.9423076923076923,0.98,0.9607843137254902,0.8809523809523809,0.74,0.8043478260869565,0.9183673469387755,0.9,0.9090909090909091,0.7272727272727273,0.64,0.6808510638297872,0.8478260869565217,0.78,0.8125,0.673469387755102,0.66,0.6666666666666666,0.7540983606557377,0.92,0.8288288288288288,0.8723404255319149,0.82,0.8453608247422681,0.8103448275862069,0.94,0.8703703703703703,0.8431372549019608,0.86,0.8514851485148515,0.7777777777777778,0.7,0.7368421052631577,0.875,0.84,0.8571428571428572,0.94,0.94,0.94,0.98,0.98,0.98,0.8846153846153846,0.92,0.9019607843137256,0.825,0.66,0.7333333333333334,0.7288135593220338,0.86,0.7889908256880733,0.9607843137254902,0.98,0.9702970297029702,0.7735849056603774,0.82,0.796116504854369,0.8636363636363636,0.76,0.8085106382978724
